bat_landing_to_food,risk,reward,month,season,bat_start_hour,sin_hour,cos_hour,bat_landing_to_food_lag1,log1p_seconds_after_rat_arrival,log1p_hours_after_sunset,log1p_bat_start_hour,log1p_rat_start_hour,log1p_rat_end_hour
9.0,0,1,1,0,23,0.9851967197512304,-0.17142760393651774,1.0,5.537334267018537,2.035758107664463,3.1780538303479458,3.1780538303479458,3.1780538303479458
2.0,0,1,5,1,2,0.9851967197512304,-0.17142760393651774,9.0,2.6390573296152584,2.035758107664463,1.0986122886681098,1.0986122886681098,1.0986122886681098
6.0,0,1,1,0,23,0.9838980381907099,-0.1787306645331811,2.0,5.87493073085203,2.039451087922253,3.1780538303479458,3.1780538303479458,3.1780538303479458
4.0,0,1,5,1,2,0.9831354241023645,-0.18287902524637403,6.0,5.955837369464831,2.041544951488686,1.0986122886681098,0.6931471805599453,1.0986122886681098
2.0,0,1,5,1,2,0.9823281075965303,-0.18716700837973443,4.0,5.455321115357702,2.0437064135211185,1.0986122886681098,1.0986122886681098,1.0986122886681098
16.0,1,0,5,1,2,0.9817241884023039,-0.19030926910121249,2.0,6.489204931325317,2.0452885216213894,1.0986122886681098,0.6931471805599453,1.0986122886681098
11.0,1,0,5,1,2,0.9815020890288967,-0.19145142786595168,16.0,6.226536669287466,2.0458632135807515,1.0986122886681098,0.6931471805599453,1.0986122886681098
4.0,0,1,5,1,2,0.9813066620011405,-0.19245060434350286,11.0,6.253828811575473,2.0463657983271326,1.0986122886681098,0.6931471805599453,1.0986122886681098
10.0,0,1,5,1,2,0.9807994651896986,-0.19501899672493767,4.0,6.320768294250582,2.0476570004003234,1.0986122886681098,0.6931471805599453,1.0986122886681098
5.0,1,0,5,1,2,0.9799392004691821,-0.1992966717830984,10.0,6.664409020350408,2.0498053058991426,1.0986122886681098,0.6931471805599453,1.0986122886681098
3.0,0,1,2,0,0,0.9798956973772275,-0.1995104565219504,5.0,1.0986122886681098,2.049912600074958,0.0,0.0,0.0
0.024862202,0,1,4,1,2,0.9779961444402238,-0.20862296484341575,3.0,3.6888794541139363,2.054479795682568,1.0986122886681098,0.6931471805599453,1.0986122886681098
1.0,0,1,4,1,2,0.9779657911461703,-0.20876520626734024,0.024862202,3.7376696182833684,2.054550992791993,1.0986122886681098,0.6931471805599453,1.0986122886681098
10.0,1,0,4,1,2,0.9775999377647907,-0.2104717598213055,1.0,4.189654742026425,2.0554049638515948,1.0986122886681098,0.6931471805599453,1.0986122886681098
1.0,0,1,4,1,2,0.9773081918263262,-0.2118223269373574,10.0,4.442651256490317,2.0560805074516124,1.0986122886681098,0.6931471805599453,1.0986122886681098
1.0,0,1,4,1,2,0.9767191030904323,-0.2145222451360732,1.0,4.812184355372417,2.057430226985928,1.0986122886681098,0.6931471805599453,1.0986122886681098
0.014004332,0,1,4,1,2,0.9764217613618517,-0.21587159131997727,1.0,4.955827057601261,2.0581044042775165,1.0986122886681098,0.6931471805599453,1.0986122886681098
7.0,1,0,4,1,2,0.9760593273203108,-0.21750445869228152,0.014004332,5.10594547390058,2.0589199059590393,1.0986122886681098,0.6931471805599453,1.0986122886681098
7.0,0,1,4,1,2,0.9752298471731035,-0.22119390855700632,7.0,5.37989735354046,2.06076120099438,1.0986122886681098,0.6931471805599453,1.0986122886681098
1.0,1,0,2,0,0,0.9746311475982238,-0.22381717121652953,7.0,4.912654885736052,2.0620692919271004,0.0,0.0,0.0
